"ProductID","Date","StockOnHand","DeliveredQuantity","SalesQuantity","WasteQuantity"
"2730","6/6/2022","3","6","0","0"
"2731","6/6/2022","11","6","1","0"
"2732","6/6/2022","10","8","0","0"
"2734","6/6/2022","5","0","0","0"
"2735","6/6/2022","6","0","5","0"
"2761","6/6/2022","13","15","11","0"
"2788","6/6/2022","10","12","8","1"
"2812","6/6/2022","9","6","1","0"
"2813","6/6/2022","11","6","0","0"
"2814","6/6/2022","9","0","1","0"
"2913","6/6/2022","9","0","0","0"
"2914","6/6/2022","7","0","0","0"
"3015","6/6/2022","10","8","0","0"
"3033","6/6/2022","6","0","0","0"
"3035","6/6/2022","11","6","2","0"
"4446","6/6/2022","13","12","12","0"
"12136","6/6/2022","28","24","20","0"
"12516","6/6/2022","8","0","4","0"
"12518","6/6/2022","12","0","2","0"
"12523","6/6/2022","11","0","1","0"
"16062","6/6/2022","6","0","0","0"
"16063","6/6/2022","9","6","0","0"
"19322","6/6/2022","7","0","1","0"
"19329","6/6/2022","13","6","0","0"
"19516","6/6/2022","40","16","12","0"
"19520","6/6/2022","5","0","1","0"
"75","6/7/2022","61","40","30","14"
"76","6/7/2022","58","36","44","2"
"99","6/7/2022","5","0","0","0"
"117","6/7/2022","9","4","3","0"
"118","6/7/2022","5","4","2","0"
"119","6/7/2022","6","4","5","0"
"120","6/7/2022","4","4","3","0"
"149","6/7/2022","6","0","1","0"
"184","6/7/2022","17","12","5","0"
"195","6/7/2022","44","33","31","0"
"218","6/7/2022","31","24","26","2"
"296","6/7/2022","9","6","8","0"
"300","6/7/2022","9","8","5","0"
"304","6/7/2022","5","0","1","0"
"317","6/7/2022","44","16","4","0"
"343","6/7/2022","8","0","4","0"
"353","6/7/2022","9","0","1","0"
"373","6/7/2022","18","8","7","0"
"374","6/7/2022","6","0","1","0"
"388","6/7/2022","3","18","17","1"
"419","6/7/2022","35","16","11","0"
"420","6/7/2022","20","8","4","0"
"462","6/7/2022","-2","0","2","0"
"519","6/7/2022","22","6","3","0"
"525","6/7/2022","10","5","0","0"
"596","6/7/2022","10","4","2","0"
"597","6/7/2022","22","18","11","0"
"598","6/7/2022","6","0","1","0"
"1035","6/7/2022","12","6","2","0"
"1084","6/7/2022","13","10","5","0"
"1111","6/7/2022","11","0","1","0"
"1113","6/7/2022","8","0","0","0"
"1114","6/7/2022","11","6","0","0"
"1115","6/7/2022","12","6","2","0"
"1117","6/7/2022","8","0","0","0"
"1118","6/7/2022","12","0","2","0"
"1119","6/7/2022","4","0","0","0"
"1692","6/7/2022","12","0","1","0"
"1693","6/7/2022","23","0","0","0"
"1747","6/7/2022","24","15","14","0"
"1772","6/7/2022","5","0","0","0"
"1773","6/7/2022","11","6","2","0"
"1774","6/7/2022","10","0","5","0"
"1782","6/7/2022","14","18","15","0"
"1795","6/7/2022","9","0","7","0"
"1915","6/7/2022","10","0","1","0"
"1923","6/7/2022","8","0","2","0"
"1934","6/7/2022","3","0","1","0"
"1963","6/7/2022","39","16","7","0"
"1984","6/7/2022","9","0","2","1"
"2135","6/7/2022","10","0","1","0"
"2136","6/7/2022","5","0","1","0"
"2148","6/7/2022","14","4","1","0"
"2183","6/7/2022","6","0","1","0"
"2193","6/7/2022","18","15","16","1"
"2237","6/7/2022","8","6","2","0"
"2358","6/7/2022","11","8","9","0"
"2361","6/7/2022","18","7","4","1"
"2445","6/7/2022","16","6","2","0"
"2449","6/7/2022","21","8","7","0"
"2451","6/7/2022","5","0","5","0"
"2475","6/7/2022","10","0","1","0"
"2476","6/7/2022","6","0","3","0"
"2507","6/7/2022","18","12","7","0"
"2525","6/7/2022","6","0","2","0"
"2562","6/7/2022","17","8","8","0"
"2582","6/7/2022","12","4","2","0"
"2586","6/7/2022","21","16","15","0"
"2631","6/7/2022","22","0","6","3"
"2685","6/7/2022","8","8","3","0"
"2723","6/7/2022","8","0","0","0"
"2730","6/7/2022","3","0","1","0"
"2731","6/7/2022","10","0","3","0"
"2732","6/7/2022","10","0","0","0"
"2734","6/7/2022","9","4","1","0"
"2735","6/7/2022","9","8","1","0"
"2761","6/7/2022","23","20","12","0"
"2788","6/7/2022","21","20","11","0"
"2812","6/7/2022","8","0","0","0"
"2813","6/7/2022","11","0","1","0"
"2814","6/7/2022","8","0","0","0"
"2913","6/7/2022","9","0","1","0"
"2914","6/7/2022","7","0","0","0"
"3015","6/7/2022","10","0","1","0"
"3033","6/7/2022","6","0","0","0"
"3035","6/7/2022","9","0","2","0"
"4446","6/7/2022","13","12","12","0"
"12136","6/7/2022","31","24","21","2"
"12516","6/7/2022","8","4","3","0"
"12518","6/7/2022","20","10","2","0"
"12523","6/7/2022","10","0","1","0"
"16062","6/7/2022","6","0","0","0"
"16063","6/7/2022","9","0","0","0"
"19322","6/7/2022","6","0","0","0"
"19329","6/7/2022","13","0","1","0"
"19516","6/7/2022","36","8","6","0"
"19520","6/7/2022","12","8","0","0"
"75","6/8/2022","49","32","38","5"
"76","6/8/2022","49","36","30","1"
"99","6/8/2022","5","0","0","0"
"117","6/8/2022","6","0","2","0"
"118","6/8/2022","7","4","1","0"
"119","6/8/2022","1","0","0","0"
"120","6/8/2022","1","0","1","0"
"149","6/8/2022","5","0","0","0"
"184","6/8/2022","24","12","8","0"
"195","6/8/2022","46","33","28","5"
"218","6/8/2022","24","21","16","7"
"296","6/8/2022","7","6","4","0"
"300","6/8/2022","12","8","3","0"
"304","6/8/2022","10","6","1","1"
"317","6/8/2022","48","8","12","0"
"343","6/8/2022","4","0","1","0"
"353","6/8/2022","8","0","0","0"
