ProductID,Date,StockOnHand,DeliveredQuantity,SalesQuantity,WasteQuantity,Recommended stock Quantity
4446,2022/06/04,21,12,17,1,38
12136,2022/06/04,17,15,15,0,32
12516,2022/06/04,6,0,1,0,7
12518,2022/06/04,12,0,0,0,12
12523,2022/06/04,9,4,3,0,12
16062,2022/06/04,7,0,1,0,8
16063,2022/06/04,6,0,1,0,7
19322,2022/06/04,8,0,1,0,9
19329,2022/06/04,7,0,0,0,7
19516,2022/06/04,23,16,7,0,30
19520,2022/06/04,7,0,2,0,9
75,2022/06/05,35,32,25,0,60
76,2022/06/05,39,24,22,3,61
99,2022/06/05,5,0,0,0,5
117,2022/06/05,1,0,0,0,1
118,2022/06/05,6,0,2,1,8
119,2022/06/05,6,4,2,0,8
120,2022/06/05,5,4,0,1,5
149,2022/06/05,8,0,1,0,9
184,2022/06/05,1,3,3,0,4
195,2022/06/05,30,21,18,0,48
218,2022/06/05,17,18,11,0,28
296,2022/06/05,10,6,4,0,14
300,2022/06/05,7,0,2,0,9
304,2022/06/05,7,0,4,0,11
317,2022/06/05,36,16,14,0,50
343,2022/06/05,6,0,1,0,7
353,2022/06/05,3,0,0,0,3
373,2022/06/05,16,8,7,0,23
374,2022/06/05,14,4,5,0,19
388,2022/06/05,-10,12,12,0,2
419,2022/06/05,25,16,7,0,32
420,2022/06/05,21,8,8,0,29
462,2022/06/05,13,0,10,2,23
519,2022/06/05,17,6,6,0,23
525,2022/06/05,2,0,1,0,3
596,2022/06/05,7,0,1,0,8
597,2022/06/05,2,0,4,0,6
598,2022/06/05,4,0,1,1,5
1035,2022/06/05,17,6,5,0,22
1084,2022/06/05,12,10,7,0,19
1111,2022/06/05,11,0,0,0,11
1113,2022/06/05,11,0,1,1,12
1114,2022/06/05,5,0,0,0,5
1115,2022/06/05,10,6,3,0,13
1117,2022/06/05,8,0,0,0,8
1118,2022/06/05,7,0,0,0,7
1119,2022/06/05,6,0,2,0,8
1692,2022/06/05,15,8,4,0,19
1693,2022/06/05,23,0,0,0,23
1747,2022/06/05,6,5,4,0,10
1772,2022/06/05,6,0,0,0,6
1773,2022/06/05,6,0,0,0,6
1774,2022/06/05,2,0,0,0,2
1782,2022/06/05,-1,12,10,0,9
1795,2022/06/05,32,0,11,0,43
1914,2022/06/05,5,0,0,0,5
1915,2022/06/05,6,0,1,0,7
1923,2022/06/05,6,0,3,0,9
1934,2022/06/05,9,6,3,1,12
1963,2022/06/05,30,24,14,1,44
1984,2022/06/05,12,6,1,0,13
2135,2022/06/05,7,0,2,0,9
2136,2022/06/05,7,0,1,0,8
2148,2022/06/05,12,8,1,0,13
2183,2022/06/05,20,6,5,0,25
2193,2022/06/05,13,12,4,0,17
2237,2022/06/05,7,6,3,0,10
2358,2022/06/05,15,8,0,7,15
2361,2022/06/05,6,0,1,1,7
2445,2022/06/05,16,6,2,0,18
2449,2022/06/05,23,8,8,0,31
2451,2022/06/05,15,15,4,0,19
2475,2022/06/05,10,0,0,0,10
